标准分类,标准命名,算子分级,Package,PyTorch link
Distribution,bernoulli,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.bernoulli.html?highlight=bernoulli#torch.bernoulli>
Distribution,one_hot,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.one_hot.html?highlight=one_hot#torch.nn.functional.one_hot>
Distribution,rand,P1,torch,<https://pytorch.org/docs/stable/generated/torch.rand.html#torch.rand>
Distribution,randn,P1,torch,<https://pytorch.org/docs/stable/generated/torch.randn.html#torch.randn>
Distribution,multinomial,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.multinomial.html?highlight=multinomial#torch.multinomial>
Distribution,randint,P1,torch,<https://pytorch.org/docs/stable/generated/torch.randint.html#torch.randint>
Distribution,randint,P2,torch,<https://pytorch.org/docs/stable/generated/torch.randint.html#torch.randint>
Distribution,normal,P2,torch,<https://pytorch.org/docs/stable/generated/torch.normal.html?highlight=normal#torch.normal>
Distribution,poisson,P2,torch,<https://pytorch.org/docs/stable/generated/torch.poisson.html?highlight=poisson#torch.poisson>
Distribution,cauchy,P2,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.cauchy_.html?highlight=cauchy#torch.Tensor.cauchy_>
Distribution,exponential,P2,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.exponential_.html?highlight=exponential#torch.Tensor.exponential_>
Distribution,get_rng_state,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.get_rng_state.html#torch.cuda.get_rng_state>
Distribution,set_rng_state,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.set_rng_state.html#torch.cuda.set_rng_state>
Distribution,get_rng_state_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.get_rng_state_all.html#torch.cuda.get_rng_state_all>
Distribution,set_rng_state_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.set_rng_state_all.html#torch.cuda.set_rng_state_all>
Distribution,manual_seed,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.manual_seed.html#torch.cuda.manual_seed>
Distribution,manual_seed_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.manual_seed_all.html#torch.cuda.manual_seed_all>
Distribution,seed,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.seed.html#torch.cuda.seed>
Distribution,seed_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.seed_all.html#torch.cuda.seed_all>
Distribution,initial_seed,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.initial_seed.html#torch.cuda.initial_seed>
Sort,topk,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.topk.html?highlight=topk#torch.topk>
Sort,sort,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.sort.html?highlight=sort#torch.sort>
Sort,argsort,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.argsort.html?highlight=argsort#torch.argsort>
Element-wise,abs,P0,"torch, torch.Tensor",
Element-wise,exp,P0,"torch, torch.Tensor",
Element-wise,floor,P0,"torch, torch.Tensor",
Element-wise,log,P0,"torch, torch.Tensor",
Element-wise,log2,P0,"torch, torch.Tensor",
Element-wise,pow,P0,"torch, torch.Tensor",
Element-wise,reciprocal,P0,"torch, torch.Tensor",
Element-wise,sqrt,P0,"torch, torch.Tensor",
Element-wise,tanh,P0,"torch, torch.Tensor, torch.nn.functional",
Element-wise,neg,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.neg.html?highlight=neg#torch.neg>
Element-wise,sign,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.sign.html#torch.sign>
Element-wise,isinf,P0,torch,<https://pytorch.org/docs/stable/generated/torch.isinf.html?highlight=isinf#torch.isinf>
Element-wise,isnan,P0,torch,<https://pytorch.org/docs/stable/generated/torch.isnan.html?highlight=isnan#torch.isnan>
Element-wise,threshold,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.threshold.html#torch.nn.functional.threshold>
Element-wise,clamp,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.clamp.html?highlight=clamp#torch.clamp>
Element-wise,clamp_max,P0,"torch, torch.Tensor",
Element-wise,clamp_min,P0,"torch, torch.Tensor",
